"who" "xcor" "ycor"
"1" 0 -12.8576201756771 5.15887653034415
"2" 1 5.52454274590744 -12.1506706274041
"3" 2 2.29740746185576 6.72333039732877
"4" 3 -1.61174573904726 -15.8404072777451
"5" 4 -13.757287760574 -7.33528739939965
"6" 5 9.18540095518854 14.8358446086635
"7" 6 -2.82932120111927 -14.3831328130494
"8" 7 5.73076759533953 15.5741850767011
"9" 8 -1.03451046619409 15.7331159239797
"10" 9 9.0497119325146 -1.44703922948
"11" 10 -12.0378002730003 -5.80334683683557
"12" 11 11.2657417587996 -7.76390477947422
"13" 12 3.55841191116654 -5.77344130253057
"14" 13 -7.16737023999748 -12.5335136374583
"15" 14 15.5036991537109 5.05362110035195
"16" 15 5.04208026666839 4.45694262270948
"17" 16 10.5927765883187 -13.2956577456903
"18" 17 13.2857498601089 -1.65165049040674
"19" 18 -9.55737564237384 -12.2454319928193
"20" 19 -0.83498236438566 4.07583313056821
"21" 20 2.15123249140155 12.0483845883288
"22" 21 -2.07794554863121 6.52182949000972
"23" 22 -6.98027758669523 -2.20149413930098
"24" 23 3.69915865863272 3.85882174602354
"25" 24 5.05257463754804 -8.14137726017589
"26" 25 -2.026149899795 16.1163368917305
"27" 26 -4.29633293815031 -11.6674216632851
"28" 27 0.767185989794992 -13.3999631643563
"29" 28 2.85492673878534 -15.8364511811281
"30" 29 -0.630513699084304 6.22581886490352
